crash_numb,city_town_name,crash_date,crash_severity_descr,crash_status,crash_time_2,year,max_injr_svrty_cl,numb_vehc,polc_agncy_type_descr,sptroop,age_drvr_oldest,crash_hour,first_hrmf_event_descr,ambnt_light_descr,manr_coll_descr,road_surf_cond_descr,numb_fatal_injr,weath_cond_descr,hit_run_descr,most_hrmfl_evt_cl,speed_limit,lat,lon
4411059,CAMBRIDGE,08/18/2017,Property damage only (none injured),Closed,08:10:00,2017,No injury,1,Local police,NA,35-44,08:00AM to 08:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Cloudy,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.36388471,-71.09316128
4410947,CAMBRIDGE,08/19/2017,Not Reported,Closed,00:57:00,2017,Unknown,1,Local police,NA,21-24,12:00AM to 12:59AM,Collision with pedestrian,Dark - lighted roadway,Single vehicle crash,Wet,0,Rain,No hit and run,V1:(Collision with pedestrian),25,42.3721878,-71.09898431
4408944,CAMBRIDGE,08/14/2017,Non-fatal injury,Closed,08:05:00,2017,Non-fatal injury - Possible,1,Local police,NA,45-54,08:00AM to 08:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.36083373,-71.0959972
4404622,CAMBRIDGE,08/03/2017,Non-fatal injury,Closed,19:42:00,2017,Non-fatal injury - Incapacitating,1,Local police,NA,45-54,07:00PM to 07:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Single vehicle crash,Dry,0,Clear/Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.37515523,-71.11914545
4404534,CAMBRIDGE,08/06/2017,Non-fatal injury,Closed,16:40:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,NA,04:00PM to 04:59PM,Collision with parked motor vehicle,Daylight,"Sideswipe, same direction",Dry,0,Clear,"Yes, hit and run","V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.365852340000004,-71.10231447
4404533,CAMBRIDGE,08/04/2017,Non-fatal injury,Closed,23:06:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,18-20,11:00PM to 11:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.375472190000004,-71.11429887
4401729,CAMBRIDGE,08/02/2017,Non-fatal injury,Closed,10:24:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,25-34,10:00AM to 10:59AM,Collision with motor vehicle in traffic,Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.35513023,-71.11029593
4400537,CAMBRIDGE,08/01/2017,Non-fatal injury,Closed,18:29:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,75-84,06:00PM to 06:59PM,Collision with pedestrian,Daylight,"Sideswipe, same direction",Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),25,42.36821231,-71.0798637
4400535,CAMBRIDGE,08/01/2017,Non-fatal injury,Closed,16:12:00,2017,Non-fatal injury - Possible,1,Local police,NA,35-44,04:00PM to 04:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.36400356,-71.10139132
4399050,CAMBRIDGE,07/27/2017,Non-fatal injury,Closed,19:45:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,21-24,07:00PM to 07:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dusk,Rear-end,Dry,0,Clear,"Yes, hit and run","V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.35753628,-71.09276511
4397508,CAMBRIDGE,07/25/2017,Non-fatal injury,Closed,21:55:00,2017,Non-fatal injury - Possible,1,Local police,NA,75-84,09:00PM to 09:59PM,Collision with pedestrian,Dark - lighted roadway,Single vehicle crash,Dry,0,Clear/Clear,No hit and run,V1:(Collision with pedestrian),25,42.37448929,-71.12195423
4397507,CAMBRIDGE,07/25/2017,Property damage only (none injured),Closed,20:41:00,2017,No injury,1,Local police,NA,25-34,08:00PM to 08:59PM,Collision with pedestrian,Dusk,Angle,Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),25,42.37596507,-71.12449525
4438328,CAMBRIDGE,10/11/2017,Non-fatal injury,Closed,17:54:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,05:00PM to 05:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Head-on,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.39179576,-71.12383543
4438277,CAMBRIDGE,10/11/2017,Non-fatal injury,Closed,18:54:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,06:00PM to 06:59PM,Collision with pedestrian,Dusk,Angle,Dry,0,Clear,"Yes, hit and run",V1:(Collision with pedestrian),25,42.39572049,-71.12826461
4436245,CAMBRIDGE,10/05/2017,Non-fatal injury,Closed,08:00:00,2017,Non-fatal injury - Possible,1,Local police,NA,35-44,08:00AM to 08:59AM,Collision with pedestrian,Daylight,Head-on,Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),25,42.37191986,-71.08686893
4487325,CAMBRIDGE,06/24/2016,Non-fatal injury,Closed,18:30:00,2016,Non-fatal injury - Possible,1,Local police,NA,NA,06:00PM to 06:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Rear-end,Dry,0,Clear,"Yes, hit and run","V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.39118847,-71.13274848
4487333,CAMBRIDGE,06/29/2016,Non-fatal injury,Closed,17:31:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,45-54,05:00PM to 05:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Single vehicle crash,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.38625586,-71.11918789
4487334,CAMBRIDGE,06/29/2016,Property damage only (none injured),Closed,20:06:00,2016,No injury,1,Local police,NA,NA,08:00PM to 08:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36785153,-71.10771659
4487341,CAMBRIDGE,07/13/2016,Property damage only (none injured),Closed,20:41:00,2016,No injury,1,Local police,NA,25-34,08:00PM to 08:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Single vehicle crash,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.38259303,-71.11958639
4487342,CAMBRIDGE,07/16/2016,Non-fatal injury,Closed,14:20:00,2016,Non-fatal injury - Possible,1,Local police,NA,35-44,02:00PM to 02:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.37255872,-71.09181848
4487357,CAMBRIDGE,08/09/2016,Property damage only (none injured),Closed,19:00:00,2016,No injury,1,Local police,NA,NA,07:00PM to 07:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear/Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.38483393,-71.11934218
4487393,CAMBRIDGE,10/12/2016,Non-fatal injury,Closed,12:00:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,75-84,12:00PM to 12:59PM,Collision with pedestrian,Daylight,Single vehicle crash,Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),NA,42.39093828,-71.12220808
4487394,CAMBRIDGE,10/12/2016,Property damage only (none injured),Closed,21:26:00,2016,No injury,1,Local police,NA,NA,09:00PM to 09:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,Rear-end,Dry,0,Clear,"Yes, hit and run","V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.365304449999996,-71.07988302
4487395,CAMBRIDGE,10/13/2016,Non-fatal injury,Closed,14:17:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,55-64,02:00PM to 02:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Rear-end,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.37231502,-71.11514374
4487401,CAMBRIDGE,10/23/2016,Non-fatal injury,Closed,12:38:00,2016,Non-fatal injury - Possible,1,Local police,NA,65-74,12:00PM to 12:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear/Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.3700943,-71.11334825
4487409,CAMBRIDGE,10/07/2016,Non-fatal injury,Closed,13:08:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,25-34,01:00PM to 01:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Single vehicle crash,Dry,0,Clear/Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.36536707,-71.10518258
4487436,CAMBRIDGE,09/28/2016,Unknown,Closed,17:15:00,2016,Not reported,1,Local police,NA,45-54,05:00PM to 05:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dusk,Angle,Dry,0,Cloudy,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.37209591,-71.08826404
4487443,CAMBRIDGE,10/21/2016,Non-fatal injury,Closed,23:30:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,65-74,11:00PM to 11:59PM,Collision with pedestrian,Dark - lighted roadway,"Sideswipe, opposite direction",Wet,0,Rain,No hit and run,V1:(Collision with pedestrian),NA,42.37291027,-71.09448735
4487444,CAMBRIDGE,10/26/2016,Property damage only (none injured),Closed,07:40:00,2016,No injury,1,Local police,NA,21-24,07:00AM to 07:59AM,Collision with pedestrian,Daylight,Unknown,Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),NA,42.36281702,-71.09165069
4392830,CAMBRIDGE,07/18/2017,Property damage only (none injured),Closed,17:59:00,2017,No injury,1,Local police,NA,35-44,05:00PM to 05:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Cloudy,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.36621807,-71.08604421
4395673,CAMBRIDGE,07/23/2017,Non-fatal injury,Closed,11:48:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,55-64,11:00AM to 11:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Unknown,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",20,42.39209718,-71.12420512
4395674,CAMBRIDGE,07/23/2017,Property damage only (none injured),Closed,11:25:00,2017,No injury,1,Local police,NA,45-54,11:00AM to 11:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",20,42.38378998,-71.11945776
4400486,CAMBRIDGE,08/01/2017,Non-fatal injury,Closed,08:35:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,45-54,08:00AM to 08:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Cloudy,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.38058536,-71.12783143
4404529,CAMBRIDGE,08/03/2017,Non-fatal injury,Closed,20:54:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,65-74,08:00PM to 08:59PM,Collision with pedestrian,Daylight,Head-on,Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),25,42.36272086,-71.08992749
4404624,CAMBRIDGE,08/04/2017,Non-fatal injury,Closed,09:15:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,09:00AM to 09:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.36830888,-71.09422548
4404626,CAMBRIDGE,08/05/2017,Non-fatal injury,Closed,13:58:00,2017,Non-fatal injury - Possible,1,Local police,NA,NA,01:00PM to 01:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,Angle,Unknown,0,Clear/Cloudy,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",20,42.35610011,-71.09653724
4407043,CAMBRIDGE,08/10/2017,Non-fatal injury,Closed,08:00:00,2017,Non-fatal injury - Possible,1,Local police,NA,25-34,08:00AM to 08:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.37525991,-71.11274599
4407046,CAMBRIDGE,08/10/2017,Non-fatal injury,Closed,19:06:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,07:00PM to 07:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.36609606,-71.0797078
4407366,CAMBRIDGE,08/11/2017,Non-fatal injury,Closed,14:32:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,02:00PM to 02:59PM,Collision with pedestrian,Daylight,Angle,Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),25,42.36917619,-71.11073144
4409845,CAMBRIDGE,08/15/2017,Non-fatal injury,Closed,13:08:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,01:00PM to 01:59PM,Collision with motor vehicle in traffic,Daylight,Angle,Dry,0,Clear/Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.37011092,-71.11293535
4409930,CAMBRIDGE,08/15/2017,Non-fatal injury,Closed,23:55:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,25-34,11:00PM to 11:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.36515433,-71.10615511
4417780,CAMBRIDGE,09/01/2017,Non-fatal injury,Closed,08:13:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,08:00AM to 08:59AM,Collision with pedestrian,Daylight,Single vehicle crash,Dry,0,Clear/Clear,No hit and run,V1:(Collision with pedestrian),25,42.36200391,-71.11429602
4422887,CAMBRIDGE,09/10/2017,Non-fatal injury,Closed,09:44:00,2017,Non-fatal injury - Possible,1,Local police,NA,65-74,09:00AM to 09:59AM,Collision with pedestrian,Daylight,Unknown,Dry,0,Clear/Clear,No hit and run,V1:(Collision with pedestrian),20,42.36448726,-71.11386812
4422894,CAMBRIDGE,09/13/2017,Non-fatal injury,Closed,14:25:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,02:00PM to 02:59PM,Collision with motor vehicle in traffic,Daylight,"Sideswipe, same direction",Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.38389798,-71.11944496
4422895,CAMBRIDGE,09/13/2017,Non-fatal injury,Closed,17:00:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,18-20,05:00PM to 05:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.3721878,-71.09898431
4423900,CAMBRIDGE,09/15/2017,Non-fatal injury,Closed,22:45:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,21-24,10:00PM to 10:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,"Sideswipe, same direction",Wet,0,Rain,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.36126512,-71.09505619
4424057,CAMBRIDGE,09/16/2017,Non-fatal injury,Closed,22:34:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,45-54,10:00PM to 10:59PM,Collision with pedestrian,Daylight,Single vehicle crash,Dry,0,Clear/Clear,No hit and run,V1:(Collision with pedestrian),25,42.37310748,-71.1179072
4424700,CAMBRIDGE,09/14/2017,Non-fatal injury,Closed,20:00:00,2017,Non-fatal injury - Non-incapacitating,1,State police,H,55-64,08:00PM to 08:59PM,Collision with pedestrian,Dark - lighted roadway,Single vehicle crash,Wet,0,Rain,No hit and run,V1:(Collision with pedestrian),35,42.39406689,-71.14051708
4426005,CAMBRIDGE,09/19/2017,Non-fatal injury,Closed,10:34:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,10:00AM to 10:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Cloudy/Cloudy,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.39744633,-71.13022215
4429625,CAMBRIDGE,09/25/2017,Property damage only (none injured),Closed,08:24:00,2017,No injury,1,Local police,NA,55-64,08:00AM to 08:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.37414954,-71.11885437
4430500,CAMBRIDGE,09/27/2017,Non-fatal injury,Closed,09:27:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,NA,09:00AM to 09:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.36491203,-71.10902166
4431573,CAMBRIDGE,09/28/2017,Non-fatal injury,Closed,16:12:00,2017,Non-fatal injury - Possible,1,Local police,NA,65-74,04:00PM to 04:59PM,Collision with pedestrian,Daylight,Single vehicle crash,Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),25,42.36812855,-71.10187523
4433605,CAMBRIDGE,09/27/2017,Non-fatal injury,Closed,15:00:00,2017,Non-fatal injury - Possible,1,Local police,NA,75-84,03:00PM to 03:59PM,Collision with pedestrian,Daylight,Head-on,Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),25,42.36771809,-71.09518837
4433615,CAMBRIDGE,10/02/2017,Non-fatal injury,Closed,15:00:00,2017,Non-fatal injury - Possible,1,Local police,NA,25-34,03:00PM to 03:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.39744633,-71.13022215
4434561,CAMBRIDGE,10/04/2017,Non-fatal injury,Closed,17:16:00,2017,Non-fatal injury - Possible,1,Local police,NA,NA,05:00PM to 05:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Clear,"Yes, hit and run","V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.38483393,-71.11934218
4436148,CAMBRIDGE,10/06/2017,Non-fatal injury,Closed,14:25:00,2017,Non-fatal injury - Possible,1,Local police,NA,25-34,02:00PM to 02:59PM,Collision with pedestrian,Daylight,Angle,Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),25,42.37750586,-71.12214262
4437585,CAMBRIDGE,10/10/2017,Non-fatal injury,Closed,08:10:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,08:00AM to 08:59AM,Collision with pedestrian,Daylight,Angle,Dry,0,Clear/Clear,No hit and run,V1:(Collision with pedestrian),20,42.3842304,-71.12196885
4439980,CAMBRIDGE,10/13/2017,Property damage only (none injured),Closed,18:01:00,2017,No injury,1,Local police,NA,35-44,06:00PM to 06:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear/Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.37576122,-71.1193852
4440037,CAMBRIDGE,10/14/2017,Non-fatal injury,Closed,23:13:00,2017,Non-fatal injury - Possible,1,Local police,NA,45-54,11:00PM to 11:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,"Sideswipe, same direction",Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.39013209,-71.12070694
4442327,CAMBRIDGE,10/16/2017,Non-fatal injury,Closed,12:15:00,2017,Non-fatal injury - Non-incapacitating,1,State police,H,65-74,12:00PM to 12:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Cloudy,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.37484716,-71.13805225
4443556,CAMBRIDGE,10/16/2017,Non-fatal injury,Closed,09:00:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,55-64,09:00AM to 09:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Cloudy,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",20,42.37998311,-71.11985709
4443557,CAMBRIDGE,10/16/2017,Non-fatal injury,Closed,12:13:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,12:00PM to 12:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Unknown,Dry,0,Cloudy,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",20,42.37998311,-71.11985709
4443565,CAMBRIDGE,10/19/2017,Non-fatal injury,Closed,13:30:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,NA,01:00PM to 01:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Clear,"Yes, hit and run","V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.37469587,-71.10835409
4444035,CAMBRIDGE,10/24/2017,Not Reported,Closed,07:02:00,2017,Unknown,1,Local police,NA,55-64,07:00AM to 07:59AM,Collision with pedestrian,Dawn,Unknown,Wet,0,Rain,No hit and run,V1:(Collision with pedestrian),25,42.36321295,-71.09669825
4444504,CAMBRIDGE,10/25/2017,Non-fatal injury,Closed,09:16:00,2017,Non-fatal injury - Possible,1,Local police,NA,25-34,09:00AM to 09:59AM,Collision with pedestrian,Dawn,Angle,Wet,0,Rain/Cloudy,No hit and run,V1:(Collision with pedestrian),25,42.36297703,-71.09361628
4445349,CAMBRIDGE,10/26/2017,Non-fatal injury,Closed,17:53:00,2017,Non-fatal injury - Incapacitating,1,Local police,NA,45-54,05:00PM to 05:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dusk,Angle,Wet,0,Cloudy,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.36515433,-71.10615511
4445429,CAMBRIDGE,10/26/2017,Property damage only (none injured),Closed,18:33:00,2017,No injury,1,Local police,NA,NA,06:00PM to 06:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,Angle,Wet,0,Rain,"Yes, hit and run","V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.36351198,-71.09982839
4445775,CAMBRIDGE,10/27/2017,Non-fatal injury,Closed,11:43:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,75-84,11:00AM to 11:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear/Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.3592448,-71.08714593
4445779,CAMBRIDGE,10/27/2017,Property damage only (none injured),Closed,13:47:00,2017,No injury,1,Local police,NA,55-64,01:00PM to 01:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.35901555,-71.09355676
4449161,CAMBRIDGE,10/31/2017,Non-fatal injury,Closed,08:10:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,21-24,08:00AM to 08:59AM,Collision with pedestrian,Daylight,Single vehicle crash,Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),25,42.37134547,-71.08238041
4449238,CAMBRIDGE,10/31/2017,Non-fatal injury,Closed,18:35:00,2017,Non-fatal injury - Non-incapacitating,1,Local police,NA,65-74,06:00PM to 06:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Single vehicle crash,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.38083812,-71.1197791
4449239,CAMBRIDGE,10/31/2017,Property damage only (none injured),Closed,19:55:00,2017,No injury,1,Local police,NA,45-54,07:00PM to 07:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dusk,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.36138626,-71.09695268
4452828,CAMBRIDGE,11/07/2017,Non-fatal injury,Closed,22:41:00,2017,Non-fatal injury - Possible,1,Local police,NA,75-84,10:00PM to 10:59PM,Collision with pedestrian,Dusk,Angle,Wet,0,Rain,No hit and run,V1:(Collision with pedestrian),25,42.375472190000004,-71.11429887
4452829,CAMBRIDGE,11/08/2017,Non-fatal injury,Closed,16:56:00,2017,Non-fatal injury - Possible,1,Local police,NA,35-44,04:00PM to 04:59PM,Collision with pedestrian,Dusk,Angle,Dry,0,Cloudy,No hit and run,V1:(Collision with pedestrian),25,42.3622016,-71.0907442
4452892,CAMBRIDGE,11/10/2017,Non-fatal injury,Closed,13:59:00,2017,Non-fatal injury - Possible,2,Local police,NA,NA,01:00PM to 01:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Clear,"Yes, hit and run","V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car)) / V2:(Collision with motor vehicle in traffic)",25,42.37404702,-71.11888501
4452920,CAMBRIDGE,11/07/2017,Property damage only (none injured),Closed,08:43:00,2017,No injury,1,Local police,NA,45-54,08:00AM to 08:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",25,42.37336181,-71.1185856
